store,websites,sku,cost,price,msrp_price,cod_enabled
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15211G,1800,49,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15250P,2100,52,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15250W,2100,52,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15338W,2900,71,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15250B,2100,52,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15113G,1000,49,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15200W,1700,49,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15125B,1100,49,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15200G,1700,49,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15213G,1800,49,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15800G,700,49,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15500W,4300,106,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15100G,900,49,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15500B,4300,106,0,0
"store_us,global_m_sv","app_us,global_m_web",C-ICL24SEP15500G,4300,106,0,0
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15211G,1800,2430,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15250P,2100,2835,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15250W,2100,2835,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15338W,2900,3915,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15250B,2100,2835,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15113G,1000,1350,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15200W,1700,2295,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15125B,1100,1485,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15200G,1700,2295,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15213G,1800,2430,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15800G,700,945,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15500W,4300,5805,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15100G,900,1215,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15500B,4300,5805,0,1
"store_in,india_m_sv","app_in,india_m_web",C-ICL24SEP15500G,4300,5805,0,1
