store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_id,warehouse_code,gender,manage_stock,use_config_manage_stock,floor_type
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Black & Beige Half & Half Saree with Golden Embroidery,black-&-beige-half-&-half-sari-with-golden-embroidery-inctr2015vpb,Black,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,7500,3375,2,4,0,Free Size,0,0,1,Non Returnable,Embroidered and sequinned unstitched sari with blouse.<ul><li>Color: Black</li></ul>,,Pure Velvet 9000,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Pink Silk Saree with Heavy Golden Embroidery,pink-silk-sari-with-heavy-golden-embroidery-inctr2015zspk,Pink,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,7250,3195,2,4,0,Free Size,0,0,1,Non Returnable,Embroidered unstitched sari with blouse and paan shaped motifs.<ul><li>Color: Pink</li></ul>,,Zoya Silk,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Teal Blue Silk Saree with Heavy Golden Embroidery,teal-blue-silk-sari-with-heavy-golden-embroidery-inctr2015zsb,Blue,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,7250,3195,2,4,0,Free Size,0,0,1,Non Returnable,Embroidered unstitched sari with blouse and paan shaped motifs.<ul><li>Color: Blue</li></ul>,,Zoya Silk,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Orange Silk Saree with Green Border & Embroidery,orange-silk-sari-with-green-border-&-embroidery-inctr2015spo,Orange,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,5500,2325,2,4,0,Free Size,0,0,1,Non Returnable,Unstitched sari with blouse and contrasting borders.<ul><li>Color: Orange</li></ul>,,Gajji Silk,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Pista Green Silk Saree with Maroon Border & Embroidery,pista-green-silk-sari-with-maroon-border-&-embroidery-inctr2015spg,Pista Green,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,5500,2325,2,4,0,Free Size,0,0,1,Non Returnable,Unstitched sari with blouse and contrasting borders.<ul><li>Color: Pista Green</li></ul>,,Gajji Silk,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Maroon Silk Saree with Purple Border & Embroidery,maroon-silk-sari-with-purple-border-&-embroidery-inctr2015spp,Purple,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,5500,2325,2,4,0,Free Size,0,0,1,Non Returnable,Unstitched sari with blouse and contrasting borders.<ul><li>Color: Purple</li></ul>,,Gajji Silk,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Red & Green Half & Half Saree with Golen Embroidery,red-&-green-half-&-half-sari-with-golen-embroidery-inctr2015mhr,Red,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,4500,1975,2,4,0,Free Size,0,0,1,Non Returnable,Botanical print unstitched sari with blouse and embroidered borders.<ul><li>Color: Red</li></ul>,,Silk & Manipuri Cotton blend,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Pink & Navy Blue Half & Half Saree with Golen Embroidery,pink-&-navy-blue-half-&-half-sari-with-golen-embroidery-inctr2015mhp,Pink,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,4500,1975,2,4,0,Free Size,0,0,1,Non Returnable,Botanical print unstitched sari with blouse and embroidered borders.<ul><li>Color: Pink</li></ul>,,Silk & Manipuri Cotton blend,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Green Saree with Golden Paisley Motifs,green-sari-with-golden-paisley-motifs-inctr2015csg,Green,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,5500,2225,2,4,0,Free Size,0,0,1,Non Returnable,Paisley print unstitched sari with blouse.<ul><li>Color: Green</li></ul>,,Manipuri Cotton,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Women,simple,"15,17,29,19,14",INCTRVPB,0,Yellow Saree with Golden Paisley Motifs,yellow-sari-with-golden-paisley-motifs-inctr2015csy,Yellow,Saris,clothing/saris,INCTRVPB,7,7 days,Surat,,5500,2225,2,4,0,Free Size,0,0,1,Non Returnable,Paisley print unstitched sari with blouse.<ul><li>Color: Yellow</li></ul>,,Manipuri Cotton,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Sur,EX_FC_VL_DEL_KAP,Women,1,1,
